"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－身體評估評估欄位對應"
"HNBodyEvaluationsModel","HNBodyEvaluationsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－身體評估評估邏輯模型","描述居家護理身體評估評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.answer","HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-d9301962abbf","",,,,"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q63b2fbbe').item.where(linkId='BodyQuestions.q63b2fbbe.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q63b2fbbe').item.where(linkId='BodyQuestions.q63b2fbbe.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.other","HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q63b2fbbe.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q63b2fbbe').item.where(linkId='BodyQuestions.q63b2fbbe.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q3288f369","HNBodyEvaluationsModel.bodyQuestions.q3288f369","","","",1,1,"","","","BackboneElement {[]} {[]}
","說話","說話","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3288f369",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3288f369')"
"HNBodyEvaluationsModel.bodyQuestions.q3288f369.id","HNBodyEvaluationsModel.bodyQuestions.q3288f369.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q3288f369.extension","HNBodyEvaluationsModel.bodyQuestions.q3288f369.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q3288f369.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q3288f369.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q3288f369.answer","HNBodyEvaluationsModel.bodyQuestions.q3288f369.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-3330cbe2f937","",,,,"HNBodyEvaluationsModel.bodyQuestions.q3288f369.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3288f369').item.where(linkId='BodyQuestions.q3288f369.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q3288f369.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q3288f369.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3288f369.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3288f369').item.where(linkId='BodyQuestions.q3288f369.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q3288f369.other","HNBodyEvaluationsModel.bodyQuestions.q3288f369.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3288f369.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3288f369').item.where(linkId='BodyQuestions.q3288f369.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q14304745","HNBodyEvaluationsModel.bodyQuestions.q14304745","","","",1,1,"","","","BackboneElement {[]} {[]}
","理解","理解","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q14304745",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q14304745')"
"HNBodyEvaluationsModel.bodyQuestions.q14304745.id","HNBodyEvaluationsModel.bodyQuestions.q14304745.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q14304745.extension","HNBodyEvaluationsModel.bodyQuestions.q14304745.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q14304745.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q14304745.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q14304745.answer","HNBodyEvaluationsModel.bodyQuestions.q14304745.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-dc054900d0e6","",,,,"HNBodyEvaluationsModel.bodyQuestions.q14304745.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q14304745').item.where(linkId='BodyQuestions.q14304745.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q14304745.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q14304745.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q14304745.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q14304745').item.where(linkId='BodyQuestions.q14304745.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q14304745.other","HNBodyEvaluationsModel.bodyQuestions.q14304745.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q14304745.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q14304745').item.where(linkId='BodyQuestions.q14304745.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9","","","",1,1,"","","","BackboneElement {[]} {[]}
","口腔外觀","口腔外觀","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7ca654d9')"
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.id","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.extension","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.answer","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-7c98e63372ac","",,,,"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7ca654d9').item.where(linkId='BodyQuestions.q7ca654d9.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-415683173294","",,,,"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7ca654d9').item.where(linkId='BodyQuestions.q7ca654d9.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.other","HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q7ca654d9.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7ca654d9').item.where(linkId='BodyQuestions.q7ca654d9.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09","","","",1,1,"","","","BackboneElement {[]} {[]}
","特殊進食","特殊進食","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q53fb7d09')"
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.id","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.extension","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.answer","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-49fe20230ec3","",,,,"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q53fb7d09').item.where(linkId='BodyQuestions.q53fb7d09.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-3435b7eace88","",,,,"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q53fb7d09').item.where(linkId='BodyQuestions.q53fb7d09.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.other","HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q53fb7d09.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q53fb7d09').item.where(linkId='BodyQuestions.q53fb7d09.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60","","","",1,1,"","","","BackboneElement {[]} {[]}
","假牙狀況","假牙狀況","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfcd3bd60')"
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.id","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.extension","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.answer","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-a051b2c062af","",,,,"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfcd3bd60').item.where(linkId='BodyQuestions.qfcd3bd60.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-eee6be407d0e","",,,,"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfcd3bd60').item.where(linkId='BodyQuestions.qfcd3bd60.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.other","HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qfcd3bd60.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfcd3bd60').item.where(linkId='BodyQuestions.qfcd3bd60.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb","","","",1,1,"","","","BackboneElement {[]} {[]}
","腹部狀態","腹部狀態","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q7b3136eb')"
"HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.id","HNBodyEvaluationsModel.bodyQuestions.q7b3136eb.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
