"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 在宅急症資料集與 FHIR 資源對照","Mapping: RIM Mapping"
"HAHCareDataset.patient.gender","HAHCareDataset.patient.gender","","","",0,1,"","","","code {[]} {[]}
","性別","性別。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administrative-gender","",,,,"HAHCareDataset.patient.gender",0,1,"","","Patient.gender"
"HAHCareDataset.patient.address","HAHCareDataset.patient.address","","","",1,2,"","","","Address {[]} {[]}
","居住地址","居住地址。[填入完整地址，可另記錄縣市、行政區及郵遞區號。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.address",1,2,"","","Patient.address"
"HAHCareDataset.patient.telecom","HAHCareDataset.patient.telecom","","","",1,*,"","","","ContactPoint {[]} {[]}
","聯絡方式","聯絡方式。[填入聯絡種類 system 與實際號碼或地址 value。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.telecom",1,*,"","","Patient.telecom"
"HAHCareDataset.patient.contact","HAHCareDataset.patient.contact","","","",1,*,"","","","BackboneElement {[]} {[]}
","緊急聯絡人","緊急聯絡人。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.contact",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.contact"
"HAHCareDataset.patient.contact.id","HAHCareDataset.patient.contact.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.patient.contact.extension","HAHCareDataset.patient.contact.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.patient.contact.modifierExtension","HAHCareDataset.patient.contact.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.patient.contact.name","HAHCareDataset.patient.contact.name","","","",1,1,"","","","HumanName {[]} {[]}
","聯絡人姓名","聯絡人姓名。[填入完整姓名；可另以 family 與 given 記錄姓和名。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.contact.name",1,1,"","","Patient.contact.name"
"HAHCareDataset.patient.contact.relationship","HAHCareDataset.patient.contact.relationship","","","",1,1,"","","","CodeableConcept {[]} {[]}
","與個案關係","與個案關係。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.contact.relationship",1,1,"","","Patient.contact.relationship"
"HAHCareDataset.patient.contact.telecom","HAHCareDataset.patient.contact.telecom","","","",1,*,"","","","ContactPoint {[]} {[]}
","聯絡人電話","聯絡人電話。[填入聯絡種類 system 與實際號碼或地址 value。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.contact.telecom",1,*,"","","Patient.contact.telecom"
"HAHCareDataset.patient.caregiver","HAHCareDataset.patient.caregiver","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCRelatedPerson]]}
","主要照顧者","主要照顧者。[應填入對應的 LTCRelatedPerson Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.caregiver",0,*,"","","RelatedPerson.patient"
"HAHCareDataset.patient.deceased","HAHCareDataset.patient.deceased","","","",0,1,"","","","dateTime {[]} {[]}
","死亡時間","死亡時間。[填入已確認的死亡時間；不從結案狀態推定。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.patient.deceased",0,1,"","","Patient.deceasedDateTime"
"HAHCareDataset.intake","HAHCareDataset.intake","","","",0,1,"","","","BackboneElement {[]} {[]}
","收案評估","收案評估。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHAssessmentResponse"
"HAHCareDataset.intake.id","HAHCareDataset.intake.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.intake.extension","HAHCareDataset.intake.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.intake.modifierExtension","HAHCareDataset.intake.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.intake.criteria","HAHCareDataset.intake.criteria","","","",1,1,"","","","string {[]} {[]}
","計畫名稱與版本","計畫名稱與版本。[填入本次評估適用的照護計畫名稱及版本。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake.criteria",1,1,"","","QuestionnaireResponse.item[criteria]"
"HAHCareDataset.intake.homeSafety","HAHCareDataset.intake.homeSafety","","","",1,1,"","","","string {[]} {[]}
","環境與設備可行性","環境與設備可行性。[描述供電、通訊、設備及居家環境是否可支援預定照護。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake.homeSafety",1,1,"","","QuestionnaireResponse.item[homeSafety]"
"HAHCareDataset.intake.caregiverSupport","HAHCareDataset.intake.caregiverSupport","","","",1,1,"","","","string {[]} {[]}
","照顧者支援能力","照顧者支援能力。[描述照顧者可提供的協助及尚需補足的能力。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake.caregiverSupport",1,1,"","","QuestionnaireResponse.item[caregiverSupport]"
"HAHCareDataset.intake.decision","HAHCareDataset.intake.decision","","","",1,1,"","","","Coding {[]} {[]}
","收案建議","收案建議。[填入代碼系統 system 與代碼 code。]","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hah-eligibility","",,,,"HAHCareDataset.intake.decision",1,1,"","","QuestionnaireResponse.item[decision]"
"HAHCareDataset.intake.reason","HAHCareDataset.intake.reason","","","",0,1,"","","","string {[]} {[]}
","評估原因","評估原因。[評估為 pending 或 ineligible 時填入原因。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake.reason",0,1,"","","QuestionnaireResponse.item[reason]"
"HAHCareDataset.intake.assessor","HAHCareDataset.intake.assessor","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCPractitionerRole], CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCPractitioner]]}
","評估人員","評估人員。[應填入對應的 LTCPractitionerRole／LTCPractitioner Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake.assessor",1,1,"","","QuestionnaireResponse.author"
"HAHCareDataset.intake.date","HAHCareDataset.intake.date","","","",1,1,"","","","dateTime {[]} {[]}
","評估時間","評估時間。[填入實際時間；包含時分時須提供時區。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.intake.date",1,1,"","","QuestionnaireResponse.authored"
"HAHCareDataset.episode","HAHCareDataset.episode","","","",1,1,"","","","BackboneElement {[]} {[]}
","一次收案療程","一次收案療程。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHEpisodeOfCare"
"HAHCareDataset.episode.id","HAHCareDataset.episode.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.episode.extension","HAHCareDataset.episode.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.episode.modifierExtension","HAHCareDataset.episode.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.episode.identifier","HAHCareDataset.episode.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","療程識別碼","療程識別碼。[每次收案使用獨立識別碼，包含發碼系統與值。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode.identifier",1,*,"","","EpisodeOfCare.identifier"
"HAHCareDataset.episode.status","HAHCareDataset.episode.status","","","",1,1,"","","","code {[]} {[]}
","療程狀態","療程狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/episode-of-care-status","",,,,"HAHCareDataset.episode.status",1,1,"","","EpisodeOfCare.status"
"HAHCareDataset.episode.period","HAHCareDataset.episode.period","","","",1,1,"","","","Period {[]} {[]}
","實際照護期間","實際照護期間。[填入收案開始時間；完成療程時另填實際結束時間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode.period",1,1,"","","EpisodeOfCare.period"
"HAHCareDataset.episode.organization","HAHCareDataset.episode.organization","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/Organization-twltc]]}
","負責機構","負責機構。[應填入對應的 LTCOrganization Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode.organization",1,1,"","","EpisodeOfCare.managingOrganization"
"HAHCareDataset.episode.diagnosis","HAHCareDataset.episode.diagnosis","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHCondition]]}
","收案診斷","收案診斷。[應填入對應的 HAHCondition Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode.diagnosis",0,*,"","","EpisodeOfCare.diagnosis.condition"
"HAHCareDataset.episode.team","HAHCareDataset.episode.team","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHCareTeam]]}
","照護團隊","照護團隊。[應填入對應的 HAHCareTeam Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode.team",0,*,"","","EpisodeOfCare.team"
"HAHCareDataset.episode.referral","HAHCareDataset.episode.referral","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHServiceRequest]]}
","收案轉介","收案轉介。[應填入對應的 HAHServiceRequest Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.episode.referral",0,*,"","","EpisodeOfCare.referralRequest"
"HAHCareDataset.episode.outcome","HAHCareDataset.episode.outcome","","","",0,1,"","","","CodeableConcept {[]} {[]}
","結束原因","結束原因。[完成療程時填寫；其他原因另填 text 說明。]","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hah-outcome","",,,,"HAHCareDataset.episode.outcome",0,1,"","","EpisodeOfCare.extension[outcome]"
"HAHCareDataset.encounter","HAHCareDataset.encounter","","","",1,*,"","","","BackboneElement {[]} {[]}
","整段照護或單次訪視","整段照護或單次訪視。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHEncounter"
"HAHCareDataset.encounter.id","HAHCareDataset.encounter.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.encounter.extension","HAHCareDataset.encounter.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.encounter.modifierExtension","HAHCareDataset.encounter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.encounter.identifier","HAHCareDataset.encounter.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","就診識別碼","就診識別碼。[填入識別系統 system 與識別值 value。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.identifier",0,*,"","","Encounter.identifier"
"HAHCareDataset.encounter.status","HAHCareDataset.encounter.status","","","",1,1,"","","","code {[]} {[]}
","就診狀態","就診狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/encounter-status","",,,,"HAHCareDataset.encounter.status",1,1,"","","Encounter.status"
"HAHCareDataset.encounter.class","HAHCareDataset.encounter.class","","","",1,1,"","","","Coding {[]} {[]}
","照護分類","照護分類。[整段照護填 IMP、實地訪視填 HH、遠距評估填 VR，使用 v3-ActCode。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.class",1,1,"","","Encounter.class"
"HAHCareDataset.encounter.period","HAHCareDataset.encounter.period","","","",1,1,"","","","Period {[]} {[]}
","實際服務起訖","實際服務起訖。[使用 start、end 填入起訖時間；尚未結束時不預填實際結束時間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.period",1,1,"","","Encounter.period"
"HAHCareDataset.encounter.parent","HAHCareDataset.encounter.parent","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHAdmissionEncounter]]}
","所屬整段照護","所屬整段照護。[單次訪視應參照本次整段照護的 Encounter。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.parent",0,1,"","","Encounter.partOf"
"HAHCareDataset.encounter.mode","HAHCareDataset.encounter.mode","","","",0,1,"","","","code {[]} {[]}
","訪視方式","訪視方式。[單次訪視填入 in-person、video 或 telephone。]","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hah-visit-mode","",,,,"HAHCareDataset.encounter.mode",0,1,"","","Encounter.extension[mode]"
"HAHCareDataset.encounter.participant","HAHCareDataset.encounter.participant","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCPractitioner], CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCPractitionerRole]]}
","照護人員","照護人員。[應填入對應的 LTCPractitioner／LTCPractitionerRole Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.participant",1,*,"","","Encounter.participant.individual"
"HAHCareDataset.encounter.organization","HAHCareDataset.encounter.organization","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/Organization-twltc]]}
","服務機構","服務機構。[應填入對應的 LTCOrganization Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.organization",1,1,"","","Encounter.serviceProvider"
"HAHCareDataset.encounter.location","HAHCareDataset.encounter.location","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","照護地點","照護地點。[應填入對應的 Location Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.location",0,*,"","","Encounter.location.location"
